track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Segundi Garinasso,Horse Vision,Horse Vision,Another Life,,,,,2025-03-07,2:07,False,https://open.spotify.com/track/6rGuG27M8QAQ7OvGgdZe1N,spotify:track:6rGuG27M8QAQ7OvGgdZe1N,52921,407652,indie rock; dream pop; art rock; electronic; shoegaze,DE,Germany,futurepop; synth-pop; german; synthpop; electro,100,1988,,Group,,5988,21840,,lastfm+mb
Break Me,Adios Adios,Adios Adios,A Token of Love,,,,,2024-06-21,2:39,False,https://open.spotify.com/track/4KGupujAybsCTMOivkMm25,spotify:track:4KGupujAybsCTMOivkMm25,6444,50375,folk; psychedelic; art rock; indie,ES,Spain,,100,,,Person,,1983,5738,,lastfm
Slow,Florence Sinclair,Florence Sinclair,It’s a big man ting,,,,,2021-12-18,1:55,True,https://open.spotify.com/track/7kr9fOsSo2W5OZvXwrHWNI,spotify:track:7kr9fOsSo2W5OZvXwrHWNI,45552,773311,electronica; ambient; rap; alternative; idm,DE,Germany,fuzzy artist - series; has german audio plays; series title as artist; audio drama; _consistency,100,1981,,Character,male,25235,133876,,lastfm+mb
Idea June,Chanel Beads,Chanel Beads,Your Day Will Come,,,,,2024-04-19,1:30,False,https://open.spotify.com/track/30UGKAmsplFsEOpngWe6sz,spotify:track:30UGKAmsplFsEOpngWe6sz,234266,4319668,experimental; dream pop; indie pop; american; Neo-Psychedelia,,New York,,100,,,Group,,54793,294396,,lastfm+mb
when you call,synecdoche new york,synecdoche new york,synecdoche new york,,,,,2024-09-23,3:26,False,https://open.spotify.com/track/7LkUrAmolW1slN7RgRT3DK,spotify:track:7LkUrAmolW1slN7RgRT3DK,10460,29490,,US,United States,classical; symphony orchestra; orchestra; american orchestra,100,1842,,Orchestra,,9244,18993,,lastfm+mb
Reading Circle,Yorck Street,Yorck Street,My Small Piano,,,,,2025-09-04,1:07,False,https://open.spotify.com/track/6LC4ePGynffU39m2FmJzf3,spotify:track:6LC4ePGynffU39m2FmJzf3,2437,31985,,US,United States,rock; singer-songwriter; pop rock; heartland rock,100,1972,,Group,,493,2510,,lastfm+mb
Too Careful,Jabu,Jabu,A Soft and Gatherable Star,,,,,2024-10-18,2:52,False,https://open.spotify.com/track/78g4Sf7X3id6VELAFnzH3N,spotify:track:78g4Sf7X3id6VELAFnzH3N,39477,362107,electronic; experimental; ambient; dub; downtempo,,,,100,,,Group,,11219,29431,,lastfm+mb
Love/Of Love,Rockie Rode,Rockie Rode,Love/Of Love,,,,,2024-05-31,1:56,False,https://open.spotify.com/track/0tBFBamg7uL4mJqbrFAmwY,spotify:track:0tBFBamg7uL4mJqbrFAmwY,29490,151848,dream pop; experimental,,,,100,,,,,2489,6800,,lastfm+mb
Chasing Rabbits,Sta Dormida,Sta Dormida,More Like Never,,,,,2025-07-17,3:46,False,https://open.spotify.com/track/4XhAkqYYhyOOXxbY59UfNN,spotify:track:4XhAkqYYhyOOXxbY59UfNN,2555,11304,,,,,100,,,,,587,1479,,lastfm+mb
shootgaze,Elvira del Rocío,Elvira del Rocío; Ian Mills,shoot gaze,,,,,2025-09-02,1:58,False,https://open.spotify.com/track/5P3VdKiKJ5AN0I4fKCoNZC,spotify:track:5P3VdKiKJ5AN0I4fKCoNZC,5386,38996,slowcore; acoustic; songwriter,ES,Spain,,100,,,Person,female,918,2841,,lastfm+mb
"We don't have relationships, we take hostages",Sydenham High Road,Sydenham High Road,"We don't have relationships, we take hostages",,,,,2024-06-12,2:33,False,https://open.spotify.com/track/0ELbMuu8x1aj0vZcVnxUtB,spotify:track:0ELbMuu8x1aj0vZcVnxUtB,4182,24610,indie; electronic; hypnagogic pop; experimental,,,,100,2010,,Group,,958,2758,,lastfm+mb
